nl,t,yv,inv_cost,sc
R12_FSU,coal_ppl_u,1990,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,1995,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2000,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2005,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2010,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2015,959.3,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2020,959.5555555555555,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2025,959.5555555555555,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2030,960.2810657134459,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2035,961.8202396789058,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2040,963.3301459267752,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2045,964.6851082983983,sv_2c_buffer_decoal
R12_FSU,coal_ppl_u,2050,965.978885831067,sv_2c_buffer_decoal
R12_LAM,coal_ppl,1965,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,1970,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,1975,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,1980,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,1985,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,1990,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,1995,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2000,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2005,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2010,1052.67,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2025,1053.0,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2030,1017.4347063379562,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2035,993.0693150014004,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2040,976.6140016135121,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2045,966.2276930324238,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2050,960.6013772995125,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2055,958.3993423571605,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2060,959.0563629126575,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2070,967.8453168203993,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2080,983.453736734583,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2090,1001.4396395317203,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2100,1020.4288566105093,sv_2c_buffer_decoal
R12_LAM,coal_ppl,2110,1020.4288566105093,sv_2c_buffer_decoal
R12_LAM,coal_adv,2010,1295.59,sv_2c_buffer_decoal
R12_LAM,coal_adv,2015,1295.59,sv_2c_buffer_decoal
R12_LAM,coal_adv,2020,1296.0000000000002,sv_2c_buffer_decoal
R12_LAM,coal_adv,2025,1296.0000000000002,sv_2c_buffer_decoal
R12_LAM,coal_adv,2030,1219.2255224042606,sv_2c_buffer_decoal
R12_LAM,coal_adv,2035,1162.484352884374,sv_2c_buffer_decoal
R12_LAM,coal_adv,2040,1120.427441753673,sv_2c_buffer_decoal
R12_LAM,coal_adv,2045,1089.687276402118,sv_2c_buffer_decoal
R12_LAM,coal_adv,2050,1067.79609012528,sv_2c_buffer_decoal
R12_LAM,coal_adv,2055,1052.5615060776697,sv_2c_buffer_decoal
R12_LAM,coal_adv,2060,1042.7137144456026,sv_2c_buffer_decoal
R12_LAM,coal_adv,2070,1035.9042540051869,sv_2c_buffer_decoal
R12_LAM,coal_adv,2080,1040.7720211332576,sv_2c_buffer_decoal
R12_LAM,coal_adv,2090,1051.2402719058068,sv_2c_buffer_decoal
R12_LAM,coal_adv,2100,1064.7553551854896,sv_2c_buffer_decoal
R12_LAM,coal_adv,2110,1064.7553551854896,sv_2c_buffer_decoal
R12_LAM,igcc,2010,1619.49,sv_2c_buffer_decoal
R12_LAM,igcc,2015,1619.49,sv_2c_buffer_decoal
R12_LAM,igcc,2020,1619.9999999999998,sv_2c_buffer_decoal
R12_LAM,igcc,2025,1619.9999999999998,sv_2c_buffer_decoal
